ID,Outcome
TEST_000,0.61952114
TEST_001,0.20905496
TEST_002,0.778527
TEST_003,0.6467934
TEST_004,0.18381582
TEST_005,0.15143465
TEST_006,0.40294823
TEST_007,0.49712563
TEST_008,0.03871308
TEST_009,0.14400966
TEST_010,0.49712563
TEST_011,0.49712563
TEST_012,0.39750472
TEST_013,0.3641633
TEST_014,0.16066778
TEST_015,0.30305153
TEST_016,0.4470853
TEST_017,0.162212
TEST_018,0.35384312
TEST_019,0.4230069
TEST_020,0.49712563
TEST_021,0.277441
TEST_022,0.13962509
TEST_023,0.2087569
TEST_024,0.22413595
TEST_025,0.74134004
TEST_026,0.074310094
TEST_027,0.49712563
TEST_028,0.3032327
TEST_029,0.254262
TEST_030,0.49712563
TEST_031,0.44120145
TEST_032,0.19681767
TEST_033,0.10515525
TEST_034,0.3025576
TEST_035,0.46699622
TEST_036,0.18249054
TEST_037,0.22786279
TEST_038,0.27900356
TEST_039,0.4560939
TEST_040,0.13269679
TEST_041,0.21338724
TEST_042,0.32423484
TEST_043,0.20205429
TEST_044,0.20259774
TEST_045,0.7285104
TEST_046,0.14973408
TEST_047,0.40263537
TEST_048,0.49712563
TEST_049,0.4888609
TEST_050,0.1092269
TEST_051,0.28311345
TEST_052,0.46020043
TEST_053,0.60683924
TEST_054,0.49760756
TEST_055,0.49712563
TEST_056,0.1347856
TEST_057,0.49712563
TEST_058,0.49712563
TEST_059,0.49712563
TEST_060,0.075408146
TEST_061,0.027521074
TEST_062,0.5112726
TEST_063,0.49712563
TEST_064,0.40877485
TEST_065,0.5168916
TEST_066,0.83393246
TEST_067,0.3921399
TEST_068,0.20457278
TEST_069,0.16125514
TEST_070,0.2438666
TEST_071,0.49712563
TEST_072,0.18572699
TEST_073,0.04441919
TEST_074,0.36204436
TEST_075,0.49712563
TEST_076,0.38701782
TEST_077,0.0969252
TEST_078,0.73478234
TEST_079,0.3642039
TEST_080,0.19582842
TEST_081,0.026111785
TEST_082,0.24872243
TEST_083,0.16843514
TEST_084,0.20396239
TEST_085,0.68427646
TEST_086,0.55281776
TEST_087,0.32086262
TEST_088,0.49712563
TEST_089,0.11744668
TEST_090,0.49712563
TEST_091,0.16555294
TEST_092,0.30642116
TEST_093,0.40185776
TEST_094,0.4085442
TEST_095,0.46343896
TEST_096,0.49712563
TEST_097,0.13098218
TEST_098,0.26906642
TEST_099,0.49712563
TEST_100,0.49712563
TEST_101,0.6571845
TEST_102,0.12746753
TEST_103,0.49712563
TEST_104,0.17371033
TEST_105,0.26633492
TEST_106,0.21111038
TEST_107,0.8906951
TEST_108,0.25829214
TEST_109,0.0964608
TEST_110,0.49712563
TEST_111,0.5685212
TEST_112,0.28660038
TEST_113,0.49712563
TEST_114,0.22372149
TEST_115,0.23357362
