label,text,class
ham,중요 메일.메일 제목[29CM] 감사합니다. 주문이 정상적으로 완료 되었습니다.,0
spam,(광고) ★2023새봄특가★ Galaxy S23 시리즈 파격특가 선착순 300명 한정 이벤트~,1
spam,"(광고)[4월 1주차] 대티즌 한주간의 최신 공모전
메일 수신을 원치 않으시면 [수신거부]를 클릭하십시오. If you don't want this type of information or e-mail, please click the [unsubscription]",1
spam,"신청하신 시리즈의
신상품의 판매 시작을 알려드립니다.
박*경님 신청하신 이달의 컬러 LP의 판매가 시작되었습니다.
상품수량이 한정적일 수도 있으니 빠른 시일 내에 예스24에 방문하여 구매해주세요.",1
spam,제목 : (광고)[이벤트] 4월 꽃피는 날엔 몰테일 이벤트 지금 만나보세요~!,1
spam,[취업축하금 지급] 04월04일(화) 박민경님 오늘의 포지션 추천 공고입니다.,1
spam,"(광고)★따뜻!따뜻! 봄맞이 할인 이벤트★ 신선한 재료를 아낌없이!! 하루의 마무리 ""낙곱새""로 맛있게 준비하세요.새 창으로 메일 보기",1
spam,"4월 3일 절대 놓쳐서는 안되는 재테크 모음.zip
깔끔하게 웹으로 보고싶다면 눌러주세요!",1
spam,"OOO님, [신입] 종근당 그룹▶평균 연봉 6천↑ 경보제약 외 60개여개 채용정보!새 창으로 메일 보기",1
spam,"(광고) <라식 설문 이벤트> 설문 참여하면 할인 대상자!
본 메일은 2020년 08월 12일에 my포텐 마케팅 및 제휴(보험·상조·렌탈)경품 이벤트에 참여하시고, 이메일 수신에 동의하신 고객님께 보내드립니다.
본 메일은 <개인정보보호법, 정보통신망 이용 촉진 및 정보 보호 등에 관한 법률>등 관계 법령을 준수합니다.
본 메일은 발신 전용으로 관리자에게 회신되지 않으므로 아래 문의 메일로 문의 주시기 바랍니다.
메일 수신을 원하시지 않으시면 수신거부를 클릭해 주시기 바랍니다.",1
spam,"앱에서 새로운 레스토랑을 둘러보세요.
손가락만 까닥하면 신선식품이 우리 집으로!
온라인 주문과 배달 서비스로 시간을 절약하며 식재료를 간편하게 구매하세요.",1
spam,(광고)친구...| 공무원 인기질문★TOP5,1
spam,"OOO님, CJ가 국내 대기업 1위가 되었습니다.
오늘의 링커리어 뉴스레터는 어땠나요?",1
spam,"항공권 편도 94,600원부터! 일본 최대 도시 도쿄로!
몇 번을 가도 매력적인 도쿄의 신나는 거리
볼 것 많은!
도쿄 시내의 추천 명소 Pick up!",1
spam,[예스24] 박*경님 '이달의 컬러 LP' 시리즈의 [GREENVILLA (그린빌라) - GR...] 판매가 시작되었습니다.,1
spam,[예스24] 박*경님 '이달의 컬러 LP' 시리즈의 [정원영 - 2집 Mr. Moonlight...] 판매가 시작되었습니다.,1
spam,"박민경님, [신입] 5대 발전 공기업 채용 시작! #총 98명 한국중부발전 외 60개여개 채용정보!새 창으로 메일 보기
받는 사람/참조 숨기기",1
spam,(광고)[3월 5주차] 대티즌 한주간의 최신 공모전새 창으로 메일 보기,1
spam, 2023 디자인·아트 페스티벌 요약.zip!,1
spam,"(광고)효율 극대화, 돈아끼는 D.A.T.A 마케팅 전략 웨비나새 창으로 메일 보기
오픈애즈 x 세일즈포스코리아
본 이메일은 세일즈포스코리아의 제휴를 통한 이메일로 
오픈애즈에서 발송하는 이메일 수신을 허용하신 이용자에게 안내드리는 이메일입니다. 
수신을 원하지 않으시는 경우 여기를 눌러주세요.
단, 수신거부 시 매주 화요일 발송되는 오픈애즈 뉴스레터의 다양한 마케팅 소식도 놓칠 수 있어요",1
spam,"(광고)[에듀윌] 봄이라서 준비해 봄! 참여하고 100% 선물 받자!
본 메일은 2023년 3월 27일 기준 메일수신 동의여부를 확인한 결과 동의하신 회원님께 보내는 메일입니다.",1
spam,(광고) S.I.VILLAGE가 제안하는 회원님만을 위한 AI 상품추천입니다.,1
spam,"여성 남성 패션잡화 뷰티 리빙 
S.I.VILLAGE의
스페셜한 이벤트를 확인해보세요! 
시마을 원더위크(3/20~26)
최대 15% 쿠폰부터 타임딜 20%페이백까지!",1
spam,"(광고) 매콤한 맛에 빠져드는 맛!! 알이 정말 튼실한 ""양념쭈꾸미"" 맛있게 드세요!!",1
spam,"(광고) 맞춤화된 생성형 AI 모델 개발을 위한 클라우드 서비스를 소개합니다.
서비스 살펴보기
newsletter-gtc23-spring-llm-ebook-600x338.png
NeMo
NVIDIA NeMo™는 대규모 언어 모델(LLM)을 초개인화하여 배포하기 위한 클라우드 서비스입니다. 
클라우드 API를 통해 기업은 최첨단 기반 모델과 사용자 정의 도구를 사용하여 지능형 언어 모델을 애플리케이션 내에 통합할 수 있습니다.",1
spam,중요 메일메일 제목(광고) 원하는 최신가전 2가지 전액지원! 지금바로 확인하세요~,1
spam,[예스24] 박*경님 '이달의 컬러 LP' 시리즈의 [Inhaler (인헤일러) - 2집 Cu...] 판매가 시작되었습니다.,1
spam,"[예스24] 박*경님 '이달의 컬러 LP' 시리즈의 [플라스틱키즈 (PLASTICKIZ) - ...] 판매가 시작되었습니다.새 창으로 메일 보기
받는 사람/참조 숨기기",1
spam,［WISET］2023년 지식재산(IP-R&D) 연구분석 전문교육 교육생 모집 안내,1
spam,"중요 메일메일 제목[무료교육] 1인무점포 무재고 창업아이템 이번에 도전해보세요
[무료교육] 1인무점포 무재고 창업아이템 이번에 도전해보세요
1. 코로나 이후 사업패턴의 변화 무점포, 무재고 1인 사업이 대세 아마존, 바이마, 네이버 스마트스토어, 머스트잇, 해외직구 창업과정 무료교육
[서울] 3 월 21일(화) 오후 1시 ~ 5시 (4시간)",1
spam,"MZ세대가 승진을 거부하는 이유
휴학했으면 지원해요! 3개월 인턴!
[스노우] 4월 체험형 인턴 (~3/19)
[크라운제과] 채용연계 인턴 (~3/16)
지원하기 아모레 본사에서 일해요!
[아모레퍼시픽공감재단] 홍보 인턴 (~3/19)
지원하기 회사에서 ‘이것’ 때문에 너무 힘들었습니다..
주류계의 TOP 1 오비맥주가 3월 26일까지 인턴을 모집하고 있어!!
오늘은 오비맥주 인턴 선배가 말해준 대기업 인턴 합격 꿀팁을
가져 왔으니 다들 집중 집중 ~!",1
spam,"(광고) 세계 각지의 홀리데이 홈을 휴가 특가로 예약하세요!
내 집 같은 숙소를 예약해 보세요",1
spam,(광고) 특허받은 미니리프팅 비용 부담없이 주름 당겨드려요!,1
spam,[한국산업기술진흥협회/이공계인력중개센터 알앤디잡] 2023 굿매칭 채용정보_03월 03주차,1
