id,count
0,86.24182
1,251.34431
2,27.93509
4,91.89845
5,59.809433
10,111.569496
11,147.91682
12,247.93797
15,69.80683
17,0.5209144
18,252.48213
23,236.69307
25,178.27745
26,71.693535
31,200.91765
39,215.05244
40,57.201256
41,88.95021
42,
43,187.38837
51,244.79112
52,68.685814
54,80.042336
60,148.69115
61,190.84972
62,139.59605
63,54.918938
65,119.06974
66,105.56016
68,216.80962
71,51.37309
80,78.21211
82,
94,182.01369
98,225.66447
101,82.53601
102,167.48822
107,59.78201
112,277.90027
113,68.55277
115,
116,161.25288
120,79.39268
121,74.33993
122,257.58258
132,197.35439
143,10.291599
147,
150,67.087265
151,62.326015
152,239.993
153,76.89742
155,70.35353
156,67.71447
159,218.339
161,79.786736
163,70.59031
177,184.50441
186,83.45759
188,67.17055
190,81.68212
191,89.8662
192,201.3298
195,244.53954
200,212.67558
209,238.82118
210,63.13021
211,272.60233
214,181.08641
215,80.171196
218,147.29936
219,48.583687
222,88.18867
225,65.53028
228,261.7297
236,231.11174
241,74.41035
242,197.99522
243,251.17076
245,72.220245
247,233.19917
251,207.56572
252,78.13116
253,64.262184
254,77.85244
258,227.11105
260,
261,199.82161
265,60.71952
266,221.63857
267,223.87407
269,179.66238
270,
275,135.87091
278,73.38401
279,51.575016
286,97.422874
287,57.266014
288,215.65254
289,205.86827
293,75.87531
294,203.4464
297,
302,96.19088
303,68.88386
304,65.39271
307,115.78039
309,61.417324
311,231.66075
312,79.00832
314,228.44731
315,243.89503
319,218.81502
322,149.63649
323,
325,191.23091
327,229.25783
330,63.000893
332,224.6725
333,72.95457
338,132.38455
341,83.554054
345,87.62058
348,179.07014
349,81.326584
350,104.761765
352,
355,56.953003
356,
358,
363,181.72667
369,209.62456
371,70.823395
372,212.04285
375,245.3947
380,189.66223
388,68.44856
391,
392,214.83446
393,250.47972
394,78.709526
396,63.538757
401,66.47033
407,55.320076
409,67.20648
410,107.83075
416,113.393425
418,107.335625
420,202.79526
421,257.0174
422,207.18134
424,252.11449
428,222.23906
429,247.29643
431,185.47905
435,0.4340436
439,96.52459
441,5.8469224
447,69.28077
449,216.82475
451,228.86995
452,75.85922
454,205.10472
458,255.60423
463,172.8541
467,72.032555
470,81.982086
471,159.99612
474,239.05193
478,85.242805
483,97.900444
484,173.34215
485,69.07391
486,163.51662
491,103.31291
494,98.82252
495,203.11958
497,189.99571
499,235.00555
515,131.69417
518,207.82533
521,88.667114
525,
529,222.97707
532,158.62537
534,67.06755
540,61.677402
544,253.29648
547,201.61256
549,74.31534
563,60.623512
564,218.70534
567,93.73794
572,153.44704
577,201.24405
578,252.25627
585,230.94098
588,218.39616
589,169.62575
590,118.7017
592,76.00158
594,83.34573
596,75.7309
598,238.28682
599,186.39632
605,86.02628
606,154.21921
607,216.595
608,223.62816
609,
610,221.09029
611,99.98162
614,
615,192.9423
616,227.19926
617,162.75084
618,215.55083
624,102.453926
629,186.83388
631,82.77663
633,81.62783
637,78.10881
638,126.079414
643,
644,195.10884
645,65.48952
646,203.81554
648,175.98958
650,76.47451
651,92.91099
652,243.35292
656,180.03673
657,86.38519
659,78.73378
660,188.2643
662,117.049965
665,246.6175
675,
681,181.3014
682,187.08388
685,59.89162
686,220.56151
689,71.86616
696,156.70439
703,196.17473
704,107.38413
705,178.88692
714,210.78001
717,73.61279
718,77.45368
720,76.2487
721,262.34918
723,213.6327
726,85.29152
728,186.22018
730,95.14873
731,76.43759
734,255.51257
737,59.547882
738,70.33524
745,234.60054
746,68.07507
749,210.91277
752,68.11503
753,76.68276
758,207.921
765,85.74112
766,240.64885
768,63.118927
769,221.59581
774,188.40863
775,107.14839
781,
784,240.38129
794,90.943565
795,240.16298
796,66.17258
802,80.06122
803,94.7185
805,64.87308
806,230.42125
807,111.665855
809,63.062225
810,215.4659
812,86.45138
814,99.67809
818,222.75273
819,237.96007
825,0.4340436
836,90.96937
839,168.21819
847,240.14932
848,89.69616
851,193.81882
852,173.07231
853,7.0657926
857,192.93617
858,84.523964
859,202.2676
861,0.4340436
867,151.59392
870,209.94922
871,217.33696
872,268.9434
874,275.6532
881,238.25575
886,165.07121
890,
895,185.98079
899,68.57606
900,229.62248
901,232.96696
902,233.79497
903,81.110176
913,244.81291
918,247.09608
923,180.92311
924,70.030174
926,63.927803
927,73.093285
930,189.25868
934,55.52603
937,201.337
939,152.84193
941,84.87222
942,261.1955
946,217.8137
950,117.09292
953,81.8743
959,12.339573
961,55.73699
962,91.83195
964,56.896534
969,196.43506
971,150.26154
976,70.25651
978,220.85277
980,228.33562
981,192.22722
990,236.75876
993,69.16724
996,77.466194
998,252.06055
999,205.60683
1006,158.45523
1008,79.77393
1013,76.17214
1015,100.03473
1016,156.26826
1022,227.09087
1026,211.47192
1028,246.13658
1031,2.8299074
1034,
1037,236.56062
1040,
1042,75.27006
1046,93.35581
1048,109.93566
1049,156.39432
1050,
1051,223.37502
1052,214.64925
1055,90.642944
1060,170.70256
1064,87.12746
1066,72.40161
1071,148.87819
1073,76.71407
1089,226.15797
1091,121.26041
1092,68.503075
1093,227.86217
1096,228.23302
1097,213.5868
1098,64.15001
1099,73.0101
1102,238.23877
1107,86.687164
1109,82.354866
1111,11.029867
1112,133.28401
1114,282.16653
1116,238.31331
1117,171.65329
