id,count
0,79.859726
1,192.0346
2,35.86086
4,79.48314
5,69.17856
10,112.50923
11,129.12842
12,193.14
15,54.229725
17,16.158089
18,192.96634
23,184.78896
25,144.21431
26,66.80415
31,168.71255
39,171.77798
40,45.14877
41,103.85547
42,
43,157.73103
51,191.17253
52,54.071117
54,67.33988
60,137.41727
61,158.30428
62,128.50665
63,46.05247
65,116.93483
66,101.91463
68,168.27861
71,38.97651
80,72.254715
82,
94,158.00801
98,176.7517
101,66.046165
102,149.44781
107,78.86732
112,211.71669
113,53.36381
115,
116,141.82549
120,74.86456
121,57.923813
122,198.08556
132,159.18172
143,27.590292
147,
150,53.152645
151,51.060787
152,189.64265
153,71.73939
155,55.224552
156,83.380844
159,175.72447
161,78.886795
163,71.61136
177,156.78235
186,73.976555
188,61.25829
190,74.042946
191,77.05458
192,156.86702
195,188.4608
200,167.02777
209,186.6089
210,47.202377
211,202.13573
214,146.74309
215,70.38153
218,127.74332
219,38.799267
222,86.007065
225,53.152775
228,199.50893
236,182.4378
241,72.809395
242,161.86403
243,192.36293
245,61.7474
247,183.57277
251,165.27902
252,74.91393
253,49.69515
254,64.1181
258,177.64215
260,
261,163.42503
265,58.121265
266,178.90498
267,169.75664
269,152.12079
270,
275,124.19159
278,61.332836
279,42.13301
286,95.04922
287,50.927906
288,171.05305
289,161.09615
293,73.47638
294,158.62527
297,
302,87.27073
303,48.6497
304,74.27797
307,117.20059
309,46.42618
311,184.72746
312,89.69104
314,182.62257
315,188.94994
319,170.14409
322,133.89738
323,
325,155.81859
327,181.9698
330,53.352062
332,178.22884
333,75.320526
338,128.30069
341,66.98042
345,101.54922
348,145.22908
349,83.84894
350,106.95763
352,
355,45.822025
356,
358,
363,154.61623
369,169.87239
371,56.47554
372,167.65092
375,191.92375
380,152.93227
388,68.6236
391,
392,165.1671
393,194.4916
394,68.46641
396,52.04295
401,51.23825
407,49.080654
409,73.582275
410,106.44287
416,95.94503
418,110.545
420,166.1389
421,197.91478
422,166.3181
424,191.61148
428,170.50896
429,188.61552
431,148.66205
435,12.746735
439,98.75944
441,23.602093
447,61.66598
449,170.72719
451,178.25323
452,62.26877
454,156.35634
458,196.81874
463,151.04881
467,55.645473
470,103.17119
471,141.44379
474,187.20735
478,77.646286
483,84.993774
484,143.28528
485,58.184498
486,143.05667
491,100.39583
494,84.767624
495,160.10101
497,154.60257
499,180.47571
515,119.6877
518,164.38878
521,84.710785
525,
529,178.57956
532,144.07228
534,59.455345
540,61.61175
544,194.63544
547,165.80653
549,74.955536
563,48.778812
564,176.54515
567,86.42774
572,131.629
577,157.84978
578,193.04564
585,178.49384
588,170.89331
589,142.56526
590,117.4008
592,62.733204
594,103.83847
596,63.467606
598,180.83376
599,155.76332
605,75.81941
606,137.79785
607,166.71976
608,173.58437
609,
610,175.2442
611,89.64287
614,
615,155.53404
616,179.3882
617,141.58444
618,164.05392
624,92.65616
629,161.18675
631,78.83977
633,67.31651
637,66.212296
638,115.88911
643,
644,157.12715
645,52.681152
646,156.86913
648,147.20547
650,69.581955
651,83.485596
652,189.2802
656,147.35591
657,74.77184
659,66.86252
660,149.59212
662,117.49629
665,193.22499
675,
681,152.0218
682,154.54
685,52.619366
686,176.63945
689,58.286304
696,140.97739
703,156.51216
704,101.38546
705,146.23743
714,167.20474
717,57.92619
718,62.78915
720,72.85701
721,201.51903
723,167.60469
726,73.42316
728,152.77475
730,90.3345
731,63.74665
734,193.92403
737,45.41367
738,67.793915
745,176.6103
746,53.811836
749,168.46016
752,52.737797
753,63.124756
758,166.21205
765,73.12262
766,186.0348
768,49.874405
769,177.08046
774,157.3043
775,103.676956
781,
784,187.84517
794,83.30133
795,186.02107
796,55.123665
802,90.554634
803,85.92586
805,48.427807
806,184.94324
807,108.599686
809,48.531124
810,170.02798
812,72.756615
814,90.88763
818,177.42326
819,185.8376
825,10.115185
836,72.34276
839,140.89998
847,185.49786
848,74.71
851,156.0056
852,148.67725
853,24.570013
857,159.5496
858,76.892555
859,162.3821
861,11.236739
867,131.73083
870,158.82127
871,176.1514
872,207.69307
874,211.39331
881,185.60614
886,142.91347
890,
895,156.43538
899,64.32671
900,179.64859
901,182.45618
902,183.65736
903,71.79386
913,186.54091
918,186.26515
923,147.18698
924,57.25297
926,56.98219
927,69.923485
930,152.03117
934,41.457928
937,159.35782
939,129.02686
941,83.47793
942,200.40883
946,170.42174
950,110.34879
953,68.98571
959,24.249666
961,42.576054
962,83.35598
964,73.03965
969,150.69366
971,135.1269
976,56.917126
978,173.8836
980,177.99768
981,156.55171
990,186.44049
993,57.4625
996,69.23952
998,189.8108
999,167.34303
1006,140.56935
1008,62.34677
1013,72.45233
1015,94.45073
1016,134.10123
1022,175.68282
1026,167.35306
1028,190.03413
1031,23.456118
1034,
1037,185.16452
1040,
1042,68.86765
1046,84.7157
1048,101.75308
1049,139.53374
1050,
1051,176.99954
1052,175.34229
1055,78.214714
1060,147.98766
1064,79.85988
1066,56.11453
1071,133.241
1073,63.196796
1089,178.27177
1091,110.50597
1092,64.043106
1093,179.72688
1096,176.11247
1097,164.97197
1098,59.734524
1099,52.51778
1102,188.71397
1107,74.63226
1109,69.44719
1111,28.957716
1112,126.80803
1114,211.5952
1116,186.65598
1117,143.9493
1118,61.734543
1122,
1124,165.82948
1127,88.33504
1133,182.92892
1134,65.133644
1135,144.77687
1139,177.63548
1143,
1150,79.61255
1151,120.902275
1153,180.58762
1155,58.72529
1162,65.65835
1163,162.29875
1166,12.361268
1171,62.28938
1172,51.64727
1173,184.79445
1174,73.19193
1177,103.06694
1178,89.34324
1184,79.163185
1185,120.397964
1186,83.42908
1187,179.45992
1188,192.662
1191,157.44911
1207,111.435684
1213,78.59436
1215,147.79329
1223,182.62265
1227,127.415794
1236,
1237,
1238,93.110794
1241,43.94037
1248,75.32428
1250,62.275715
1251,171.87044
1253,85.5284
1255,110.886505
1257,183.31671
1261,103.349
1262,190.35188
1265,145.37495
1273,184.58786
1277,164.63196
1278,119.63611
1280,72.29952
1284,141.75626
1285,192.56062
1288,82.50685
1295,119.73328
1297,202.27257
1299,184.75188
1304,164.73491
1308,56.0013
1310,103.47406
1311,127.568474
1314,73.999916
1315,114.99986
1318,13.014248
1320,198.7942
1321,182.65654
1322,158.32991
1330,147.04326
1333,170.37065
1334,158.73836
1341,157.23824
1344,140.95042
1351,169.51598
1354,40.752907
1356,
1363,133.75658
1365,160.10262
1369,140.82336
1373,89.36207
1375,127.3784
1377,53.81763
1379,162.5292
1380,172.76855
1381,87.40593
1384,152.99846
1390,173.19347
1393,178.68573
1395,
1399,176.47633
1400,82.45571
1401,96.459366
1404,169.85204
1408,73.29695
1409,15.128719
1413,163.10475
1416,180.20053
1418,104.98906
1423,69.33147
1424,47.31347
1425,44.081127
1433,199.6101
1434,147.69878
1436,180.0595
1442,170.92941
1444,58.883244
1445,148.34221
1452,179.50005
1455,169.96072
1462,
1467,15.7132015
1472,67.05111
1475,101.559326
1493,130.67996
1501,166.6682
1503,184.7838
1504,191.7639
1505,50.55234
1511,191.39473
1512,
1513,131.25334
1514,94.829704
1528,192.5379
1533,200.59482
1534,60.592457
1536,158.41533
1537,58.46517
1539,86.401276
1550,159.02516
1552,161.16872
1554,171.9969
1555,188.59067
1556,30.062368
1559,51.59444
1563,184.29614
1566,171.09657
1567,94.98222
1568,70.840866
1571,171.6345
1572,65.93266
1574,
1577,81.18094
1583,40.08759
1585,77.960144
1586,169.67036
1587,174.34996
1596,155.54184
1602,50.6472
1604,71.24002
1605,52.42376
1610,188.88432
1611,105.997345
1616,70.753746
1617,117.1185
1618,54.290924
1622,47.281334
1623,43.036514
1628,186.74117
1631,54.232086
1632,177.25319
1633,171.37047
1634,185.64095
1636,171.1896
1637,135.90923
1643,81.769714
1644,120.807724
1646,100.16823
1648,166.44603
1651,58.28843
1656,53.51948
1658,135.3455
1659,67.75571
1665,76.279144
1666,131.21083
1670,91.42094
1674,148.07637
1679,188.51273
1680,180.3861
1683,194.01897
1686,46.750065
1691,115.13433
1693,56.167038
1696,70.17604
1697,95.269066
1703,76.302315
1706,52.937172
1709,165.6645
1710,66.77517
1712,
1713,143.69492
1718,191.41246
1719,170.34761
1722,186.13501
1723,144.09473
1724,185.11171
1728,47.86533
1730,82.39652
1732,61.311054
1737,45.145535
1745,44.601585
1747,67.04901
1748,74.05017
1755,106.61644
1759,77.67532
1761,176.1357
1764,159.00793
1765,154.86803
1766,43.852757
1768,58.599606
1770,76.137985
1771,149.41812
1774,91.96359
1785,145.26341
1788,189.70476
1792,59.7942
1794,168.05334
1797,121.998955
1798,46.14277
1799,197.77931
1802,117.169495
1806,52.598743
1808,74.66394
1810,179.79265
1818,22.917006
1819,195.73843
1820,193.3908
1822,161.768
1826,180.79378
1827,166.29439
1835,78.748505
1841,115.49739
1842,115.54108
1843,91.71195
1846,54.06441
1849,53.176674
1850,198.32828
1851,103.572365
1857,
1858,148.68929
1860,95.489105
1861,178.0669
1864,71.18321
1869,185.02144
1871,
1872,22.722641
1875,53.87334
1878,206.07982
1879,177.01134
1885,43.765617
1888,92.556015
1889,52.85319
1890,110.21779
1896,137.30356
1897,190.77414
1898,
1900,77.456894
1905,69.00974
1908,78.14481
1909,115.75263
1913,
1918,100.84928
1922,213.81155
1923,139.67696
1925,168.5377
1926,136.20587
1927,180.77834
1930,169.40935
1935,69.873
1939,96.08044
1942,102.71965
1943,
1948,205.3029
1949,166.95375
1951,118.985504
1953,118.755936
1959,
1963,66.87027
1967,147.88853
1973,165.03061
1975,57.931026
1976,43.545998
1990,119.587
1993,113.33171
1997,65.569084
1999,139.14069
2001,164.24562
2004,47.254032
2010,116.74805
2013,139.45573
2017,186.62193
2021,94.48576
2023,59.615147
2026,164.7481
2037,47.354656
2039,81.55351
2041,46.817623
2046,55.27994
2050,67.47786
2060,165.97325
2067,114.965355
2069,160.13719
2072,178.89369
2074,158.74278
2079,127.2953
2083,53.917713
2085,76.43797
2087,58.19603
2093,146.88524
2094,66.481766
2097,64.81135
2103,92.02442
2104,
2107,188.78885
2108,45.52464
2110,16.402851
2115,178.99547
2117,69.270615
2125,181.60936
2127,206.45805
2133,47.695347
2134,201.32266
2135,122.449234
2141,188.95375
2143,52.308735
2145,48.225956
2146,88.51452
2147,167.7516
2148,
2149,
2165,104.87367
2166,157.78613
2177,82.75134
