id,count
0,176.69626
1,297.90762
2,48.063133
4,139.8236
5,16.36192
10,141.89732
11,204.54294
12,257.97437
15,171.78453
17,47.21818
18,272.8088
23,315.28287
25,45.653587
26,149.45607
31,212.18257
39,50.049797
40,90.79978
41,134.76506
42,
43,198.11592
51,235.70767
52,146.71478
54,131.53638
60,227.3351
61,63.00943
62,113.65503
63,8.567298
65,149.8086
66,123.265656
68,67.28255
71,125.51293
80,228.52464
82,
94,177.71507
98,271.11676
101,7.291842
102,112.41022
107,85.38345
112,191.82085
113,16.405153
115,
116,163.35606
120,129.80946
121,61.83126
122,313.00433
132,168.97517
143,57.14442
147,
150,79.70456
151,75.23682
152,224.30788
153,60.327957
155,60.389324
156,123.49405
159,213.38477
161,98.72441
163,26.96609
177,230.54861
186,133.08058
188,37.163307
190,135.12805
191,116.115524
192,175.58203
195,363.31207
200,169.25645
209,308.98334
210,21.403898
211,153.92728
214,68.99433
215,130.13979
218,30.042265
219,13.935817
222,100.04123
225,126.83407
228,345.94656
236,209.62541
241,42.60186
242,127.45162
243,287.18262
245,41.14948
247,241.46324
251,169.06087
252,81.41101
253,-12.305043
254,218.4523
258,318.65833
260,
261,83.63165
265,71.87695
266,283.3104
267,118.67853
269,204.17726
270,
275,36.0831
278,30.185019
279,100.82591
286,90.68637
287,34.795635
288,224.93991
289,135.40901
293,21.549934
294,105.05742
297,
302,246.9709
303,33.02813
304,52.997467
307,112.774574
309,107.23039
311,221.04956
312,102.80713
314,202.48466
315,281.53247
319,166.00194
322,174.76535
323,
325,140.26103
327,219.70967
330,24.79553
332,217.27235
333,17.086184
338,128.55339
341,81.07702
345,168.22139
348,140.74347
349,71.90585
350,134.92667
352,
355,124.38816
356,
358,
363,195.14291
369,155.66573
371,66.80647
372,102.53562
375,317.0974
380,49.530792
388,38.79793
391,
392,90.66681
393,292.22488
394,158.76569
396,53.83419
401,131.33586
407,42.787384
409,99.60341
410,112.978355
416,168.48085
418,133.06339
420,199.34132
421,107.17257
422,176.45442
424,314.76904
428,106.91892
429,244.80049
431,152.91115
435,12.43367
439,121.66359
441,-5.1942573
447,108.59963
449,90.515976
451,142.19702
452,58.620354
454,149.71474
458,263.12903
463,150.24632
467,-11.913472
470,66.60601
471,197.27003
474,331.13803
478,94.75432
483,178.82828
484,99.255714
485,66.07794
486,144.56209
491,65.430664
494,183.4924
495,258.39603
497,235.08958
499,119.9241
515,105.30063
518,202.07289
521,120.59202
525,
529,241.0826
532,222.11151
534,17.415434
540,71.17053
544,282.8619
547,223.21457
549,65.95469
563,70.6196
564,172.61385
567,277.51205
572,30.0426
577,58.160812
578,300.989
585,207.79341
588,77.698975
589,80.825516
590,177.19768
592,254.26912
594,55.73481
596,197.95961
598,194.93227
599,198.0063
605,69.55446
606,142.79207
607,272.51895
608,188.28844
609,
610,324.85782
611,82.1444
614,
615,168.44096
616,279.51434
617,114.50842
618,253.22179
624,218.63641
629,148.63994
631,56.345116
633,364.82837
637,-6.274835
638,30.41493
643,
644,119.7353
645,23.528322
646,212.67467
648,169.04305
650,77.81459
651,241.55916
652,272.52917
656,141.69331
657,124.98863
659,54.657238
660,180.0921
662,127.021324
665,265.17145
675,
681,192.86093
682,118.22781
685,31.801329
686,183.4326
689,69.13141
696,254.54652
703,202.04013
704,57.82579
705,135.5825
714,217.82034
717,231.98393
718,287.07172
720,90.50728
721,323.24097
723,242.43918
726,348.73746
728,116.88337
730,123.76769
731,-11.61024
734,296.97272
737,36.546062
738,28.340065
745,91.730644
746,272.17487
749,253.95097
752,161.24413
753,216.53856
758,257.87408
765,281.46744
766,159.21344
768,44.02683
769,261.4784
774,134.13031
775,142.75453
781,
784,294.2497
794,107.872375
795,267.21497
796,37.428444
802,109.36524
803,160.37686
805,145.7459
806,394.21872
807,137.97536
809,114.34209
810,191.05269
812,276.3731
814,98.24786
818,261.85553
819,175.23741
825,42.91516
836,84.94139
839,57.389343
847,249.48112
848,165.73979
851,75.01825
852,183.15236
853,26.639746
857,203.24214
858,111.0078
859,244.46391
861,23.559536
867,33.4534
870,161.66641
871,257.10568
872,266.036
874,243.43947
881,238.21077
886,149.74776
890,
895,174.39917
899,55.301853
900,275.3591
901,204.55156
902,283.3882
903,91.87813
913,247.63092
918,190.31624
923,148.53421
924,6.3971543
926,29.744083
927,49.189972
930,248.60124
934,66.7777
937,141.66695
939,116.717674
941,60.2501
942,210.61385
946,310.13702
950,32.54995
953,200.01988
959,89.01076
961,57.127136
962,19.257315
964,120.06805
969,93.83601
971,209.67365
976,187.04227
978,252.61353
980,212.28377
981,138.35744
990,301.63797
993,41.420307
996,54.60694
998,159.78426
999,302.15643
1006,188.6004
1008,35.930405
1013,79.12017
1015,15.973594
1016,52.311676
1022,331.08774
1026,220.21907
1028,251.03519
1031,15.169223
1034,
1037,164.60516
1040,
1042,41.01484
1046,92.846085
1048,118.14715
1049,180.08762
1050,
1051,160.30841
1052,222.31503
1055,79.25026
1060,231.62033
1064,73.653755
1066,72.7299
1071,83.59781
1073,183.77629
1089,78.92652
1091,67.838066
1092,136.35762
1093,181.09117
1096,307.34155
1097,206.54192
1098,26.445192
1099,39.1118
1102,189.3095
1107,289.31708
1109,153.00089
1111,13.737981
1112,173.25563
1114,313.23254
1116,395.91498
1117,66.99326
1118,265.98938
1122,
1124,206.31676
1127,303.9445
1133,177.57158
1134,-7.7551494
1135,61.88543
1139,278.21625
1143,
1150,191.65335
1151,149.83644
1153,267.38544
1155,32.450302
1162,18.06898
1163,188.94746
1166,31.973032
1171,95.6734
1172,104.28545
1173,234.07817
1174,121.91019
1177,128.47983
1178,87.32825
1184,276.69122
1185,191.84186
1186,186.9247
1187,215.32784
1188,269.24557
1191,199.94751
1207,156.98718
1213,34.587494
1215,96.669106
1223,172.1732
1227,137.48097
1236,
1237,
1238,66.5859
1241,24.932585
1248,27.196386
1250,111.553604
1251,205.75737
1253,87.29338
1255,10.839843
1257,251.1276
1261,40.15341
1262,295.448
1265,97.43081
1273,183.27126
1277,147.01443
1278,94.926346
1280,98.91116
1284,145.72182
1285,332.9816
1288,89.57284
1295,160.00804
1297,216.82034
1299,273.39948
1304,206.59447
1308,44.32249
1310,65.67092
1311,148.50822
1314,129.23354
1315,110.496124
1318,46.079407
1320,307.66177
1321,433.96118
1322,198.33238
1330,121.20758
1333,203.65623
1334,35.07695
1341,93.42856
1344,166.77718
1351,147.3622
1354,149.10649
1356,
1363,186.93295
1365,228.67409
1369,134.72047
1373,91.15617
1375,203.78453
1377,140.08284
1379,123.35925
1380,184.12932
1381,190.78462
1384,215.13159
1390,239.439
1393,224.67339
1395,
1399,321.88153
1400,236.34282
1401,91.351814
1404,190.65967
1408,-17.288233
1409,59.474255
1413,231.52745
1416,285.005
1418,208.34904
1423,188.28116
1424,111.61747
1425,20.257544
1433,197.1845
1434,187.47127
1436,286.91797
1442,299.2578
1444,62.875565
1445,147.74721
1452,69.00391
1455,220.09642
1462,
1467,8.493424
1472,45.39947
1475,109.656235
1493,18.81021
1501,242.80153
1503,251.17638
1504,171.81474
1505,108.84845
1511,209.17525
1512,
1513,65.02563
1514,76.87335
1528,242.45595
1533,212.4864
1534,30.11002
1536,256.5222
1537,82.07231
1539,52.521454
1550,96.442856
1552,201.6787
1554,231.54805
