index,quality
0,5
1,6
2,6
3,5
4,7
5,6
6,6
7,6
8,6
9,7
10,6
11,5
12,7
13,7
14,6
15,5
16,6
17,6
18,6
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,5
28,5
29,5
30,7
31,6
32,5
33,6
34,6
35,5
36,6
37,5
38,6
39,6
40,5
41,6
42,5
43,6
44,6
45,6
46,5
47,6
48,4
49,6
50,5
51,5
52,6
53,5
54,5
55,5
56,6
57,5
58,5
59,6
60,5
61,5
62,5
63,6
64,5
65,6
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,6
74,6
75,5
76,5
77,7
78,7
79,7
80,7
81,6
82,5
83,5
84,6
85,5
86,5
87,5
88,7
89,6
90,7
91,6
92,6
93,6
94,6
95,7
96,6
97,6
98,6
99,7
100,5
101,5
102,5
103,5
104,6
105,6
106,6
107,6
108,7
109,5
110,6
111,6
112,6
113,5
114,5
115,6
116,6
117,7
118,7
119,6
120,6
121,5
122,6
123,7
124,5
125,5
126,5
127,6
128,6
129,7
130,6
131,5
132,4
133,5
134,5
135,6
136,6
137,7
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,7
147,5
148,9
149,6
150,5
151,8
152,6
153,5
154,6
155,5
156,6
157,5
158,6
159,5
160,5
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,5
169,6
170,5
171,5
172,6
173,5
174,6
175,5
176,7
177,5
178,5
179,6
180,6
181,5
182,7
183,7
184,5
185,6
186,5
187,6
188,5
189,6
190,6
191,6
192,6
193,6
194,5
195,6
196,6
197,5
198,5
199,5
200,7
201,6
202,6
203,5
204,5
205,5
206,6
207,5
208,6
209,5
210,7
211,5
212,5
213,5
214,6
215,6
216,6
217,4
218,5
219,7
220,6
221,6
222,7
223,6
224,7
225,6
226,6
227,6
228,6
229,5
230,6
231,7
232,7
233,6
234,6
235,6
236,5
237,6
238,6
239,7
240,6
241,6
242,6
243,6
244,5
245,6
246,6
247,7
248,5
249,7
250,5
251,5
252,6
253,7
254,6
255,6
256,6
257,7
258,6
259,6
260,7
261,5
262,6
263,7
264,5
265,5
266,6
267,5
268,6
269,6
270,6
271,6
272,5
273,5
274,5
275,5
276,7
277,7
278,5
279,6
280,6
281,6
282,7
283,5
284,7
285,7
286,6
287,6
288,6
289,6
290,5
291,5
292,5
293,6
294,5
295,7
296,8
297,5
298,5
299,7
300,7
301,6
302,5
303,5
304,6
305,5
306,5
307,7
308,5
309,5
310,6
311,5
312,7
313,5
314,5
315,5
316,6
317,5
318,6
319,6
320,6
321,6
322,6
323,5
324,5
325,6
326,6
327,6
328,6
329,6
330,6
331,5
332,6
333,5
334,5
335,7
336,6
337,6
338,6
339,6
340,5
341,6
342,7
343,6
344,5
345,6
346,6
347,6
348,5
349,6
350,5
351,6
352,5
353,6
354,6
355,5
356,6
357,6
358,6
359,6
360,5
361,6
362,6
363,8
364,6
365,6
366,5
367,5
368,7
369,5
370,6
371,5
372,5
373,6
374,6
