ID,Calories_Burned
TEST_0000,8046.6743
TEST_0001,8837.581
TEST_0002,7338.101
TEST_0003,8593.289
TEST_0004,8964.53
TEST_0005,8257.209
TEST_0006,8075.3394
TEST_0007,7352.523
TEST_0008,7841.658
TEST_0009,7151.5996
TEST_0010,8121.8584
TEST_0011,6610.664
TEST_0012,7132.009
TEST_0013,8696.9
TEST_0014,9045.64
TEST_0015,6385.252
TEST_0016,7934.0347
TEST_0017,8230.244
TEST_0018,8352.735
TEST_0019,6491.465
TEST_0020,7421.2017
TEST_0021,7851.5596
TEST_0022,6823.9985
TEST_0023,7827.0186
TEST_0024,7213.3535
TEST_0025,8348.79
TEST_0026,8112.994
TEST_0027,8575.141
TEST_0028,7972.5503
TEST_0029,7752.8086
TEST_0030,6768.3306
TEST_0031,9165.011
TEST_0032,7624.459
TEST_0033,7243.2764
TEST_0034,7907.968
TEST_0035,8139.9766
TEST_0036,6692.1807
TEST_0037,8106.7563
TEST_0038,7046.0728
TEST_0039,7680.1743
TEST_0040,8683.658
TEST_0041,8061.4233
TEST_0042,8394.93
TEST_0043,7306.2188
TEST_0044,6883.217
TEST_0045,7478.6943
TEST_0046,7924.1616
TEST_0047,8754.791
TEST_0048,8473.468
TEST_0049,8512.264
TEST_0050,6980.0596
TEST_0051,7655.674
TEST_0052,8629.218
TEST_0053,7977.511
TEST_0054,6840.1787
TEST_0055,8042.3623
TEST_0056,8289.883
TEST_0057,7047.0444
TEST_0058,6918.84
TEST_0059,7935.1924
TEST_0060,7394.3057
TEST_0061,7376.651
TEST_0062,7305.186
TEST_0063,6960.795
TEST_0064,7136.034
TEST_0065,7924.3843
TEST_0066,9042.688
TEST_0067,7893.3623
TEST_0068,7440.1577
TEST_0069,6710.1367
TEST_0070,8354.945
TEST_0071,6939.303
TEST_0072,6959.518
TEST_0073,8398.923
TEST_0074,7542.5
TEST_0075,7410.247
TEST_0076,7198.077
TEST_0077,7472.8667
TEST_0078,7720.285
TEST_0079,8705.164
TEST_0080,8011.635
TEST_0081,8148.139
TEST_0082,7779.9463
TEST_0083,7982.955
TEST_0084,7392.9375
TEST_0085,8433.014
TEST_0086,8217.909
TEST_0087,6008.468
TEST_0088,8241.926
TEST_0089,7216.8486
TEST_0090,6823.4526
TEST_0091,6869.5186
TEST_0092,7152.4067
TEST_0093,8737.677
TEST_0094,6406.3467
TEST_0095,6289.664
TEST_0096,8936.653
TEST_0097,8713.759
TEST_0098,8642.756
TEST_0099,8106.6626
TEST_0100,6377.535
TEST_0101,7326.785
TEST_0102,8862.627
TEST_0103,8763.059
TEST_0104,7702.194
TEST_0105,7967.215
TEST_0106,7322.4385
TEST_0107,7187.9277
TEST_0108,8754.842
TEST_0109,6284.46
TEST_0110,8254.281
TEST_0111,8262.183
TEST_0112,7668.289
TEST_0113,8326.19
TEST_0114,7714.0137
TEST_0115,7617.7314
TEST_0116,7575.3896
TEST_0117,7489.69
TEST_0118,6278.3213
TEST_0119,6283.3784
TEST_0120,8633.9
TEST_0121,7281.3706
TEST_0122,6747.12
TEST_0123,7162.162
TEST_0124,6675.443
TEST_0125,7743.5815
TEST_0126,6733.7744
TEST_0127,6973.6836
TEST_0128,7887.761
TEST_0129,7373.3716
TEST_0130,6885.453
TEST_0131,8730.917
TEST_0132,7081.502
TEST_0133,8182.2485
TEST_0134,7708.6807
TEST_0135,7499.6763
TEST_0136,7542.376
TEST_0137,7051.3896
TEST_0138,8811.087
TEST_0139,7185.6387
TEST_0140,8303.97
TEST_0141,6186.504
TEST_0142,7717.521
TEST_0143,7761.2812
TEST_0144,6362.491
TEST_0145,7396.214
TEST_0146,8086.967
TEST_0147,7644.821
TEST_0148,7846.9673
TEST_0149,7953.306
TEST_0150,6854.158
TEST_0151,7869.3643
TEST_0152,7557.5117
TEST_0153,6278.83
TEST_0154,7978.1997
TEST_0155,7419.232
TEST_0156,8024.439
TEST_0157,7619.091
TEST_0158,8324.563
TEST_0159,7125.355
TEST_0160,7952.178
TEST_0161,7414.968
TEST_0162,7377.421
TEST_0163,8167.784
TEST_0164,7448.794
TEST_0165,6554.399
TEST_0166,7182.4756
TEST_0167,8500.767
TEST_0168,8912.715
TEST_0169,8066.495
TEST_0170,7363.802
TEST_0171,7640.4546
TEST_0172,5880.625
TEST_0173,8107.0283
TEST_0174,6469.504
TEST_0175,6966.4717
TEST_0176,6054.1562
TEST_0177,7455.1323
TEST_0178,8047.079
TEST_0179,8741.94
TEST_0180,7338.936
TEST_0181,7836.4766
TEST_0182,7746.8457
TEST_0183,7961.3555
TEST_0184,7721.9297
TEST_0185,7330.425
TEST_0186,6483.515
TEST_0187,7630.925
TEST_0188,8630.769
TEST_0189,6748.6245
TEST_0190,6779.294
TEST_0191,6294.765
TEST_0192,8701.016
TEST_0193,7124.0244
TEST_0194,8403.593
TEST_0195,8038.5986
TEST_0196,6456.665
TEST_0197,8935.911
TEST_0198,6456.1045
TEST_0199,6584.8276
TEST_0200,6799.706
TEST_0201,8413.146
TEST_0202,7059.4077
TEST_0203,7148.8564
TEST_0204,8114.295
TEST_0205,7558.5254
TEST_0206,8541.956
TEST_0207,8044.249
TEST_0208,6227.2715
TEST_0209,7330.316
TEST_0210,7851.1196
TEST_0211,8510.8545
TEST_0212,8425.552
TEST_0213,6931.6675
TEST_0214,7243.8096
TEST_0215,7962.41
TEST_0216,8050.228
TEST_0217,8310.748
TEST_0218,7324.4717
TEST_0219,7139.1777
TEST_0220,9184.13
TEST_0221,7322.408
TEST_0222,8666.812
TEST_0223,8731.478
TEST_0224,7432.949
TEST_0225,7062.3647
TEST_0226,7631.222
TEST_0227,8273.116
TEST_0228,7168.4346
TEST_0229,6284.0117
TEST_0230,7560.749
TEST_0231,7229.2314
TEST_0232,7546.333
TEST_0233,7249.644
TEST_0234,7005.7373
TEST_0235,6812.7705
TEST_0236,7984.2173
TEST_0237,6823.832
TEST_0238,8483.661
TEST_0239,6964.278
TEST_0240,7128.706
TEST_0241,8807.716
TEST_0242,7712.5283
TEST_0243,6262.9634
TEST_0244,7751.581
TEST_0245,7867.0044
TEST_0246,7376.436
TEST_0247,8523.376
TEST_0248,7561.272
TEST_0249,6804.112
TEST_0250,7195.0396
TEST_0251,7766.798
TEST_0252,7116.214
TEST_0253,7692.3125
TEST_0254,8130.8516
TEST_0255,7199.0947
TEST_0256,6716.7773
TEST_0257,7839.4155
TEST_0258,8179.3813
TEST_0259,6484.4297
TEST_0260,7237.421
TEST_0261,7459.4116
TEST_0262,6714.2344
TEST_0263,6765.4653
TEST_0264,6462.173
TEST_0265,5966.7627
TEST_0266,7786.116
TEST_0267,6704.896
TEST_0268,7779.509
TEST_0269,8759.759
TEST_0270,7554.8813
TEST_0271,7760.65
