Id,SalePrice
1461,90825.48
1462,113113.445
1463,160491.48
1464,174256.16
1465,171995.98
1466,160976.33
1467,0.0
1468,153359.5
1469,174268.77
1470,105666.01
1471,177418.69
1472,93006.91
1473,83193.086
1474,137904.92
1475,80170.61
1476,339146.88
1477,217712.31
1478,297546.44
1479,286259.97
1480,439417.03
1481,274647.4
1482,190271.23
1483,159405.75
1484,154859.78
1485,187484.69
1486,190430.84
1487,279224.0
1488,215122.75
1489,172942.4
1490,225847.66
1491,197729.56
1492,67267.22
1493,188759.22
1494,278812.94
1495,256470.5
1496,226269.3
1497,148947.19
1498,157744.44
1499,150439.86
1500,154081.56
1501,0.0
1502,0.0
1503,269960.34
1504,231589.88
1505,205319.53
1506,0.0
1507,226068.97
1508,0.0
1509,141051.4
1510,128985.99
1511,139628.34
1512,169753.42
1513,0.0
1514,0.0
1515,195692.81
1516,160816.42
1517,146502.7
1518,94965.48
1519,213341.62
1520,0.0
1521,99907.52
1522,171680.66
1523,83956.75
1524,105647.9
1525,83653.85
1526,65414.57
1527,87946.96
1528,134266.22
1529,114141.4
1530,194553.53
1531,154004.97
1532,0.0
1533,148841.4
1534,131346.9
1535,150801.47
1536,0.0
1537,48184.652
1538,142607.52
1539,206659.16
1540,0.0
1541,136644.75
1542,119294.85
1543,0.0
1544,71137.21
1545,94583.19
1546,136558.42
1547,137124.2
1548,109426.586
1549,107116.89
1550,134573.12
1551,120114.52
1552,137891.06
1553,0.0
1554,104625.83
1555,141527.22
1556,59015.605
1557,0.0
1558,102669.48
1559,0.0
1560,119931.79
1561,0.0
1562,127870.92
1563,103754.12
1564,0.0
1565,126303.67
1566,0.0
1567,60374.26
1568,0.0
1569,137741.38
1570,127463.81
1571,97604.46
1572,124720.3
1573,216031.53
1574,0.0
1575,228674.0
1576,267001.56
1577,177266.75
1578,150424.34
1579,111930.5
1580,0.0
1581,139647.8
1582,118641.23
1583,273680.78
1584,204940.23
1585,0.0
1586,46324.72
1587,77459.27
1588,128305.23
1589,82717.37
1590,114684.87
1591,0.0
1592,126360.266
1593,0.0
1594,0.0
1595,0.0
1596,198948.97
1597,161188.72
1598,174751.28
1599,171374.88
1600,174624.03
1601,36383.617
1602,115207.414
1603,68712.98
1604,266049.56
1605,237014.38
1606,152615.56
1607,0.0
1608,220915.28
1609,175461.34
1610,143341.75
1611,126818.805
1612,167033.72
1613,0.0
1614,129368.45
1615,0.0
1616,0.0
1617,62748.47
1618,104723.836
1619,131406.16
1620,151882.55
1621,125274.02
1622,155087.28
1623,251462.27
1624,214046.11
1625,94956.36
1626,173592.78
1627,170832.0
1628,0.0
1629,158763.64
1630,278235.94
1631,176647.9
1632,190006.36
1633,170044.4
1634,180449.97
1635,0.0
1636,144814.0
1637,191446.97
1638,0.0
1639,160617.05
1640,0.0
1641,169343.33
1642,247533.31
1643,0.0
1644,0.0
1645,0.0
1646,166029.97
1647,146271.44
1648,0.0
1649,0.0
